id_no,zip_code,population,poverty_rate,median_household_inc,income_ratio,unemp_rate,no_health_ins,snap,no_hs_diploma,vacancy_rate,owner_occupancy,no_vehicle,distress_score,distress_rank,exclude,population_score
40602,77066,39311,11.40,87138.00,1.13,5.50,21.20,16.20,23.30,3.80,73.50,3.80,43.75,89,2,22.42
40603,77067,30491,25.10,52032.00,0.67,6.10,30.70,27.90,29.70,10.10,46.80,8.50,73.02,163,2,15.64
40604,77068,13189,10.40,86028.00,1.11,8.40,16.80,5.80,12.00,9.60,68.40,4.30,40.27,79,2,2.33
40605,77069,20608,14.10,80257.00,1.04,6.90,10.00,7.70,4.50,6.40,59.00,4.60,38.84,72,2,8.03
40606,77070,58229,13.30,77397.00,1.00,7.80,16.00,8.90,8.20,5.90,47.50,5.90,45.11,94,2,36.98
40607,77071,27056,13.20,54139.00,0.70,8.80,19.00,20.00,16.20,7.80,51.10,11.30,58.85,131,2,12.99
40608,77072,57108,23.40,51070.00,0.66,6.70,28.30,23.30,29.30,9.80,45.20,9.40,71.45,158,2,36.11
40609,77073,46084,14.70,78592.00,1.02,5.30,24.10,16.00,22.50,7.60,64.90,3.10,48.36,108,2,27.63
40610,77074,38660,27.10,47810.00,0.62,4.80,42.20,23.50,42.50,13.20,33.40,16.60,88.46,183,2,21.92
40611,77075,40626,16.00,69191.00,0.90,8.40,27.10,17.80,29.10,7.60,60.40,5.60,59.20,132,2,23.43
40612,77076,31222,27.20,42522.00,0.55,3.80,37.50,20.00,44.00,9.00,53.40,11.40,79.32,172,2,16.20
40613,77077,60098,12.20,72871.00,0.94,7.00,13.70,8.40,4.80,15.70,37.40,8.50,47.00,99,2,38.41
40614,77078,14247,34.20,39093.00,0.51,16.30,34.10,36.00,30.50,9.60,56.20,15.90,97.76,190,2,3.14
40615,77079,37276,11.50,101995.00,1.32,3.10,14.70,6.50,3.50,8.20,48.30,2.80,32.07,52,2,20.86
40616,77080,47638,25.60,62134.00,0.80,6.20,32.50,14.30,28.80,9.70,49.20,7.00,67.67,151,2,28.83
40617,77081,50129,31.80,43251.00,0.56,5.20,45.50,22.40,46.00,8.10,6.60,20.70,100.00,192,2,30.74
40618,77082,59412,16.00,62455.00,0.81,7.60,22.70,14.80,11.50,9.50,36.40,7.80,56.29,126,2,37.89
40619,77083,73230,15.70,64418.00,0.83,7.70,21.00,19.30,21.90,5.00,64.20,7.60,55.72,125,2,48.51
40620,77084,110217,12.80,80575.00,1.04,6.30,19.40,13.90,16.00,6.00,60.00,4.00,44.83,93,2,76.97
40621,77085,16513,17.00,68470.00,0.89,6.10,28.70,14.40,36.60,4.00,68.40,4.50,57.50,128,2,4.88
40622,77086,28653,14.50,58200.00,0.75,9.20,34.70,21.10,31.80,5.60,54.80,7.30,65.81,146,2,14.22
40623,77087,34347,22.00,52847.00,0.68,10.50,33.20,22.20,37.40,9.30,52.30,7.70,75.51,167,2,18.60
40624,77088,57047,22.70,54411.00,0.70,9.90,26.80,20.50,25.80,4.90,61.90,10.90,69.62,154,2,36.07
40625,77089,57741,13.20,88140.00,1.14,6.80,16.80,12.50,15.20,7.10,67.30,3.10,41.92,83,2,36.60
40626,77090,40110,23.10,50903.00,0.66,8.90,22.80,18.50,10.90,14.20,29.30,8.40,66.34,148,2,23.04
40627,77091,28728,39.60,35432.00,0.46,8.40,28.90,29.20,27.30,10.80,35.40,16.40,93.20,186,2,14.28
40628,77092,36938,21.30,58728.00,0.76,5.60,35.70,12.80,24.90,10.10,40.60,6.40,64.58,142,2,20.60
40629,77093,46407,29.60,46766.00,0.61,5.90,38.30,24.20,46.70,8.00,56.20,8.50,81.86,175,2,27.88
40630,77094,10395,6.80,139932.00,1.81,5.70,6.20,2.40,1.30,1.80,74.30,1.60,17.76,10,2,0.18
40631,77095,69767,5.20,91594.00,1.19,6.20,11.20,5.80,8.00,3.90,70.60,1.30,27.71,38,2,45.85
40632,77096,35032,13.70,82852.00,1.07,4.20,15.30,13.70,10.20,9.30,44.90,8.30,45.70,96,2,19.13
40633,77098,17210,9.60,116650.00,1.51,4.50,8.80,1.60,1.40,9.70,34.10,7.60,32.54,55,2,5.42
40634,77099,50064,25.30,49396.00,0.64,10.70,35.10,23.10,27.60,8.10,37.40,8.90,78.35,169,2,30.69
40635,77301,37769,17.10,66475.00,0.86,4.50,27.80,12.60,23.40,7.00,55.00,5.00,53.69,119,2,21.24
40636,77302,21546,13.30,84673.00,1.10,3.40,21.70,11.10,11.80,3.20,82.90,3.00,36.45,68,2,8.76
40637,77303,28854,18.90,75348.00,0.98,8.80,21.50,13.30,12.00,7.30,74.20,1.60,47.52,106,2,14.38
40638,77304,44225,8.20,80425.00,1.04,3.00,14.40,5.00,7.20,4.30,57.20,4.40,32.49,54,2,26.20
40639,77306,18086,15.30,76257.00,0.99,1.30,33.70,20.00,37.90,8.60,81.90,0.20,49.97,112,2,6.09
40640,77316,34694,6.40,124055.00,1.61,5.10,9.20,5.10,5.40,4.60,89.10,2.40,20.81,22,2,18.87
40641,77318,20792,6.60,92415.00,1.20,3.20,11.20,6.90,9.10,12.20,80.70,2.40,27.22,37,2,8.18
40642,77320,38152,15.40,55663.00,0.72,8.10,14.80,13.00,17.40,17.50,65.90,6.50,52.94,116,2,21.53
40643,77327,42685,22.60,62219.00,0.81,5.40,35.20,18.50,26.90,15.20,85.60,4.90,60.79,138,2,25.02
40644,77328,17208,20.90,62428.00,0.81,5.70,30.70,12.50,23.60,12.40,79.50,2.00,54.16,122,2,5.42
40645,77334,197,,,,,,,,,,,,,0,
40646,77336,14342,14.70,96404.00,1.25,6.80,13.40,9.90,9.60,13.00,78.20,3.60,38.42,71,2,3.21
40647,77338,48031,19.60,64755.00,0.84,6.30,22.10,16.80,10.00,6.40,47.50,6.30,53.98,120,2,29.13
40648,77339,44538,8.60,84102.00,1.09,5.60,10.80,6.60,4.90,6.50,55.90,7.40,36.18,66,2,26.44
40649,77340,37517,22.20,48538.00,0.63,10.30,15.80,8.40,13.50,12.80,47.60,8.50,61.25,139,2,21.04
40650,77341,0,,,,,,,,,,,,,0,
40651,77342,0,,,,,,,,,,,,,0,
40652,77345,27917,4.90,150742.00,1.95,5.30,3.90,1.00,3.10,2.90,86.00,1.70,13.28,6,2,13.66
