id_no,zip_code,population,poverty_rate,unemp_rate,no_health_ins,snap,no_hs_diploma,distress_score,distress_rank,working_poor_score,working_poor_rank
9747,77422,14548,10.30,5.70,15.30,9.20,15.50,40.38,79,32.33,88
9748,77423,16689,11.90,4.40,21.40,10.00,18.30,37.90,74,45.59,134
9749,77429,95938,4.70,5.10,8.00,3.30,6.60,19.80,19,14.77,24
9750,77433,112211,6.20,4.80,10.80,4.20,5.30,19.66,17,17.91,37
9751,77441,32905,3.40,4.10,3.50,4.60,2.60,7.12,2,11.68,11
9752,77445,14943,12.30,5.90,21.10,15.30,16.20,47.96,110,42.61,126
9753,77447,22766,8.20,5.80,20.90,5.30,11.30,30.77,50,29.88,80
9754,77449,123042,11.00,6.10,20.60,13.60,14.40,40.79,82,38.38,109
9755,77450,73226,7.40,4.50,12.70,3.60,5.20,25.05,34,20.07,47
9756,77459,81251,5.00,4.80,7.90,5.50,4.60,18.27,12,15.76,27
9757,77461,12397,16.40,4.90,24.10,9.70,17.90,43.14,89,45.64,135
9758,77469,65159,6.30,5.40,15.70,7.60,9.10,28.19,39,26.54,69
9759,77471,45078,14.90,5.40,20.50,15.70,13.50,47.77,109,41.69,122
9760,77474,14846,15.40,3.90,15.20,6.40,10.60,36.62,70,31.71,84
9761,77477,32722,12.50,5.90,18.40,13.70,14.60,47.58,108,37.38,104
9762,77478,22699,6.60,4.20,6.30,5.20,5.80,22.25,28,17.27,36
9763,77479,92355,3.70,4.80,6.30,3.20,4.40,13.23,6,12.20,15
9764,77484,13772,17.30,7.50,15.30,14.50,15.50,47.47,106,30.48,81
9765,77488,14129,18.80,6.50,21.70,12.00,15.80,57.13,131,37.90,107
9766,77489,39054,9.90,6.20,16.00,10.40,11.60,36.34,68,28.65,77
9767,77493,62264,11.40,5.60,12.70,6.30,7.90,29.67,48,20.95,52
9768,77494,137213,6.00,5.10,7.10,4.30,4.00,19.71,18,12.43,16
9769,77498,53092,7.10,5.40,17.30,6.50,11.40,31.95,56,29.15,79
9770,77502,36126,25.60,9.30,29.00,22.10,36.10,71.30,160,61.70,160
9771,77503,23899,15.40,6.60,29.90,19.60,29.60,59.64,138,63.92,163
9772,77504,25758,18.30,8.20,26.00,22.20,21.30,64.61,146,49.42,143
9773,77505,23686,12.90,6.10,13.70,9.40,9.80,35.87,65,24.45,64
9774,77506,35243,22.30,13.10,42.60,26.20,43.10,85.82,180,70.44,175
9775,77510,13938,8.30,6.30,12.90,7.50,11.00,31.30,51,22.52,57
9776,77511,51984,8.90,4.70,17.70,11.90,17.20,39.70,78,41.81,123
9777,77515,33092,11.20,3.70,14.80,9.50,11.40,34.04,61,35.39,98
9778,77520,35724,21.10,9.50,25.70,21.30,24.30,69.67,157,46.58,136
9779,77521,65920,14.20,7.80,23.40,12.20,18.00,50.37,114,37.05,102
9780,77530,32065,16.90,7.70,29.60,19.20,31.10,59.36,137,60.83,158
9781,77531,16260,7.70,8.20,19.40,12.50,17.00,46.47,104,31.39,83
9782,77532,31778,9.60,8.20,16.70,6.80,9.10,37.06,72,16.95,35
9783,77535,38037,13.60,6.70,15.80,10.00,18.40,41.09,83,32.59,90
9784,77536,32421,6.90,4.90,14.30,7.50,9.10,29.14,46,26.95,70
9785,77539,47164,12.20,4.40,18.90,11.50,16.10,39.56,77,42.60,125
9786,77541,16574,13.50,5.20,23.60,14.60,18.00,51.14,117,48.36,138
9787,77545,25863,6.30,4.20,19.70,8.60,15.00,30.46,49,40.57,118
9788,77546,54082,3.10,4.40,8.70,5.80,5.80,21.77,27,19.23,46
9789,77550,23542,24.20,8.40,18.50,15.40,13.50,70.42,159,29.13,78
9790,77551,22031,18.70,5.00,19.30,14.60,13.90,55.36,123,41.46,121
9791,77563,10212,15.80,9.50,17.40,16.10,11.80,47.54,107,23.32,61
9792,77566,30057,11.00,6.60,15.10,7.10,6.30,35.21,64,18.81,44
9793,77568,21118,13.80,5.80,16.40,15.80,12.20,42.81,88,35.51,99
9794,77571,37659,12.00,4.70,15.50,9.60,11.00,37.04,71,32.23,87
9795,77573,97871,4.20,3.90,7.80,3.70,4.20,18.45,13,16.94,34
9796,77575,16617,17.10,6.70,26.50,19.10,20.40,56.08,126,51.69,145
9797,77578,27195,3.50,5.20,9.10,4.60,9.30,20.67,21,18.97,45
9798,77581,50240,3.20,3.40,8.00,3.60,6.20,19.12,15,20.62,51
9799,77583,47646,6.90,4.50,15.60,9.90,15.30,28.49,41,37.21,103
9800,77584,90979,5.10,3.30,7.10,6.80,6.40,21.18,26,23.04,58
9801,77586,24019,5.50,4.20,10.70,2.50,7.60,22.46,30,20.59,50
9802,77587,16058,23.50,9.30,30.90,22.40,40.30,72.38,162,67.50,171
9803,77590,33145,17.50,8.50,18.80,19.20,16.00,56.74,128,34.53,96
9804,77591,16840,17.80,5.10,14.60,14.30,10.00,48.93,112,33.07,93
9805,77598,26638,11.00,4.00,14.60,10.80,8.70,45.61,97,32.79,92
