id_no,zip_code,population,poverty_rate,unemp_rate,no_health_ins,snap,no_hs_diploma,distress_score,distress_rank,working_poor_score,working_poor_rank
40921,77493,71484,10.00,5.60,11.10,5.60,8.70,28.34,43,17.05,52
40922,77494,140157,5.70,4.40,6.20,4.10,3.80,18.81,12,10.00,22
40923,77498,52806,7.80,6.80,17.40,6.00,10.60,33.32,59,21.43,63
40924,77502,36371,25.60,9.20,29.80,24.90,35.10,73.50,164,65.05,171
40925,77503,23866,14.40,7.50,29.80,21.60,29.30,60.13,136,61.52,161
40926,77504,25779,19.60,9.00,26.70,22.90,20.00,66.04,147,45.80,138
40927,77505,23174,11.80,4.60,12.20,9.70,9.90,34.13,61,25.28,74
40928,77506,35114,25.10,11.40,43.70,28.60,41.40,85.39,181,80.32,180
40929,77510,14155,10.30,7.90,16.00,8.60,9.60,33.29,58,17.93,56
40930,77511,51892,9.60,4.50,18.50,14.20,17.00,42.05,84,41.91,128
40931,77515,34088,10.80,3.80,14.30,9.00,11.90,34.60,62,31.01,99
40932,77520,36355,20.20,11.10,29.80,23.60,24.70,72.69,161,47.83,142
40933,77521,69038,15.40,9.70,24.90,11.40,18.10,54.13,121,31.49,101
40934,77530,31527,17.90,8.10,29.80,23.20,29.70,61.53,140,61.40,160
40935,77531,16406,8.40,8.20,19.20,12.50,15.30,47.27,102,28.73,85
40936,77532,33780,13.00,7.30,18.20,8.50,11.20,38.98,75,23.20,72
40937,77535,39504,14.70,7.80,15.50,13.20,16.20,43.97,91,28.06,83
40938,77536,33174,7.90,5.70,12.90,8.50,10.00,30.17,47,21.90,66
40939,77539,49375,10.40,5.80,19.20,10.60,16.60,39.23,76,35.61,112
40940,77541,16996,12.20,5.70,24.60,13.20,16.10,49.78,111,42.17,129
40941,77545,26236,8.40,4.10,19.10,8.20,13.50,32.26,53,35.46,111
40942,77546,54789,3.50,4.40,6.70,5.20,5.10,21.03,25,12.61,28
40943,77550,23489,26.90,7.10,17.70,17.00,11.80,71.77,160,30.40,94
40944,77551,21696,18.40,4.50,19.60,11.90,14.90,55.33,123,38.98,119
40945,77554,10414,10.30,5.60,5.30,1.40,2.80,35.79,64,2.63,6
40946,77566,30246,11.00,7.50,13.40,7.10,7.00,36.30,67,12.96,33
40947,77568,23083,14.20,6.10,14.00,14.50,12.40,43.57,88,28.74,86
40948,77571,38543,11.90,5.30,14.70,10.80,11.30,38.88,73,27.75,82
40949,77573,98109,5.10,4.30,7.60,4.20,4.20,19.97,16,12.02,26
40950,77575,16613,19.00,7.10,24.30,20.60,23.80,58.46,130,51.36,148
40951,77578,30210,6.00,5.00,8.30,4.80,8.60,20.46,19,15.60,46
40952,77581,51332,4.50,3.60,9.00,4.40,6.90,20.85,23,18.24,57
40953,77583,52747,6.00,4.90,13.90,8.00,14.40,26.48,33,29.27,91
40954,77584,91065,4.30,3.80,6.90,5.50,6.20,20.57,20,15.90,48
40955,77586,23807,5.20,7.50,8.70,2.20,6.80,23.91,30,4.85,8
40956,77587,16033,26.10,8.30,28.40,20.10,41.60,71.22,157,69.48,176
40957,77590,31642,17.30,7.50,20.10,18.10,17.20,55.71,124,37.77,118
40958,77591,18294,16.80,4.80,11.90,17.00,9.00,47.00,100,29.04,88
40959,77598,26110,13.30,5.30,17.90,11.90,9.10,50.74,114,29.17,90
