zip_code,population,poverty_rate,unemp_rate,no_health_ins,snap,no_hs_diploma,distress_score,working_poor_score,distress_rank,working_poor_rank
77474,15146,14.4,3.8,20.7,10.8,17.7,41.82,44.05,81,134
77477,33752,11.6,6.3,18.1,13.6,15.8,48.49,34.63,109,107
77478,23182,5.2,2.8,6,4.7,5,19.50,16.16,13,49
77479,92221,4.7,4.8,7.2,3,4.5,14.72,9.61,6,20
77484,14348,14,7.4,17,13.3,16.2,45.28,30.63,94,98
77488,14548,10.9,4.6,15.3,11.7,10.9,46.45,30.59,97,97
77489,39292,7.9,5.3,14.7,11.4,12,34.10,28.93,59,87
77493,71484,10,5.6,11.1,5.6,8.7,28.34,17.05,42,52
77494,140157,5.7,4.4,6.2,4.1,3.8,18.81,10.00,11,22
77498,52806,7.8,6.8,17.4,6,10.6,33.32,21.43,58,63
77502,36371,25.6,9.2,29.8,24.9,35.1,73.50,65.05,163,171
77503,23866,14.4,7.5,29.8,21.6,29.3,60.13,61.52,135,161
77504,25779,19.6,9,26.7,22.9,20,66.04,45.80,146,138
77505,23174,11.8,4.6,12.2,9.7,9.9,34.13,25.28,60,74
77506,35114,25.1,11.4,43.7,28.6,41.4,85.39,80.32,180,180
77510,14155,10.3,7.9,16,8.6,9.6,33.29,17.93,57,56
77511,51892,9.6,4.5,18.5,14.2,17,42.05,41.91,83,128
77515,34088,10.8,3.8,14.3,9,11.9,34.60,31.01,61,99
77520,36355,20.2,11.1,29.8,23.6,24.7,72.69,47.83,160,142
77521,69038,15.4,9.7,24.9,11.4,18.1,54.13,31.49,120,101
77530,31527,17.9,8.1,29.8,23.2,29.7,61.53,61.40,139,160
77531,16406,8.4,8.2,19.2,12.5,15.3,47.27,28.73,101,85
77532,33780,13,7.3,18.2,8.5,11.2,38.98,23.20,74,72
77535,39504,14.7,7.8,15.5,13.2,16.2,43.97,28.06,90,83
77536,33174,7.9,5.7,12.9,8.5,10,30.17,21.90,46,66
77539,49375,10.4,5.8,19.2,10.6,16.6,39.23,35.61,75,112
77541,16996,12.2,5.7,24.6,13.2,16.1,49.78,42.17,110,129
77545,26236,8.4,4.1,19.1,8.2,13.5,32.26,35.46,52,111
77546,54789,3.5,4.4,6.7,5.2,5.1,21.03,12.61,24,28
77550,23489,26.9,7.1,17.7,17,11.8,71.77,30.40,159,94
77551,21696,18.4,4.5,19.6,11.9,14.9,55.33,38.98,122,119
77554,10414,10.3,5.6,5.3,1.4,2.8,35.79,2.63,63,6
77566,30246,11,7.5,13.4,7.1,7,36.30,12.96,66,33
77568,23083,14.2,6.1,14,14.5,12.4,43.57,28.74,87,86
77571,38543,11.9,5.3,14.7,10.8,11.3,38.88,27.75,72,82
77573,98109,5.1,4.3,7.6,4.2,4.2,19.97,12.02,15,26
77575,16613,19,7.1,24.3,20.6,23.8,58.46,51.36,129,148
77578,30210,6,5,8.3,4.8,8.6,20.46,15.60,18,46
77581,51332,4.5,3.6,9,4.4,6.9,20.85,18.24,22,57
77583,52747,6,4.9,13.9,8,14.4,26.48,29.27,32,91
77584,91065,4.3,3.8,6.9,5.5,6.2,20.57,15.90,19,48
77586,23807,5.2,7.5,8.7,2.2,6.8,23.91,4.85,29,8
77587,16033,26.1,8.3,28.4,20.1,41.6,71.22,69.48,156,176
77590,31642,17.3,7.5,20.1,18.1,17.2,55.71,37.77,123,118
77591,18294,16.8,4.8,11.9,17,9,47.00,29.04,99,88
77598,26110,13.3,5.3,17.9,11.9,9.1,50.74,29.17,113,90
