zip_code,population,poverty_rate,median_household_inc,income_ratio,unemp_rate,no_health_ins,snap,no_hs_diploma,vacancy_rate,owner_occupancy,no_vehicle,exclude,distress_score,rank
77356,32583,8.8,106804,1.38,2.3,9.4,5.3,4.8,12.4,81.5,4.8,2,25.61,31
77357,37592,16.3,76050,0.98,3.9,28.5,14.1,19.5,9.9,73.9,3.1,2,47.42,104
77358,5087,9.7,60424,0.78,5.1,18.2,10.3,12.3,16.9,70.5,10.5,1,,
77362,8017,10,86852,1.12,4,20.9,8.4,10.4,3.5,90.9,6.3,1,,
77363,3468,9.2,75278,0.97,9.1,15,20.6,23.5,14.9,89.3,6.8,1,,
77365,46418,11.5,95702,1.24,5.3,21.6,11.5,17.1,5.8,77.1,1.1,2,37.35,68
77367,446,,,,,,,,,,,0,,
77372,14367,13,79085,1.02,4.7,23.5,9.7,20,7.5,81.3,2.5,2,41.52,80
77373,69739,10.7,88617,1.15,5.1,16.4,12.4,11.9,5.3,72.8,1.9,2,35.47,62
77375,72311,10.3,102488,1.33,2.8,8.5,7.4,7.6,3.7,69.8,3.8,2,28.09,39
77377,41680,7,129327,1.68,4.8,7.9,4,8.3,3.9,84.3,1.1,2,20.16,16
77378,17629,10.6,71143,0.92,6.7,22.9,13.2,18.7,4,74.5,6.2,2,46.10,96
77379,85190,7.5,107486,1.39,6.2,8.7,6.3,5.4,4.1,74.1,3.2,2,27.01,35
77380,31369,8.2,88562,1.15,4.1,9.3,4,3.1,8,36.4,4.6,2,32.86,55
77381,36139,4.7,143565,1.86,4.7,7.3,4.3,2.4,3.8,78.6,5.8,2,19.15,12
77382,38986,5.1,162384,2.10,5.5,4.2,0.2,1.8,4.1,82.4,2.2,2,12.77,4
77384,26781,4.3,91667,1.19,4.5,9,3.1,1.8,8,51.6,5.3,2,28.20,41
77385,28156,6.4,117118,1.52,4.8,10.5,4.7,9.1,5.8,75.3,1.5,2,24.06,30
77386,69980,6.7,132469,1.72,3.6,8.1,2,4.5,4.5,80.3,1,2,17.28,7
77388,53425,8.2,102323,1.33,5.3,14,6.8,8.3,5,67.2,2.1,2,30.00,45
77389,45701,8.4,140683,1.82,5,11.3,5.4,6.3,3.8,75.2,1.3,2,21.93,26
77396,61735,14.6,78169,1.01,7.1,22.5,12.9,15.9,4.6,66.9,5.1,2,47.42,103
77401,17213,2.4,243750,3.16,3.7,2.4,1.9,1.1,8.4,87.9,2.5,2,0.00,
77406,69918,6,141869,1.84,4,7.6,3.8,4.8,4.2,85.6,3.6,2,17.81,10
77407,88319,9.1,98913,1.28,5.6,12.9,9,9.8,2.9,72.5,4.8,2,33.05,56
77417,3920,18.1,75405,0.98,9.6,25.2,21.3,29.2,3.6,74.9,3.8,1,,
77418,10171,6.6,90611,1.17,2.4,11.2,5.8,8.3,11.2,73.1,2.4,2,26.92,34
77422,14547,10.1,76829,1.00,3.6,14.2,8.5,16.6,20.9,84.8,4.1,2,37.58,69
77423,18767,14.6,84490,1.09,3.5,19.6,11.2,17.3,8.9,79.4,1.6,2,38.95,73
77426,2007,14.9,80446,1.04,7.7,13,10.1,19.8,12.8,69.5,8.1,1,,
77428,151,,,,,,,,,,,0,,
77429,96334,5.5,119191,1.54,5.5,8.2,4.1,6.4,3.2,81.2,1.1,2,20.72,20
77430,1664,12.2,85364,1.11,11.1,10.9,4.6,21.3,8.8,85.2,1.3,1,,
77433,116550,7,143934,1.86,5.7,10.2,5.2,6,2.5,81.5,2.7,2,20.91,23
77435,4812,6.5,68778,0.89,4.3,14.5,7.7,11,3.4,86.2,5.5,1,,
77441,41324,3,184390,2.39,2.8,2.6,3.5,2,2.4,92,0.8,2,4.23,1
77444,911,,,,,,,,,,,0,,
77445,16142,15.6,65909,0.85,5.6,24.7,17,19.5,12,64.3,4.8,2,52.15,114
77446,5780,44.2,20766,0.27,24.3,22.1,28.6,17.6,14.5,17,0,1,,
77447,25231,6.4,116925,1.51,7.2,14,6.2,8.6,8.9,86,2.9,2,27.78,38
77449,130028,12.7,87808,1.14,6.9,21.1,12.5,14.8,3.2,68.3,3.3,2,42.25,84
77450,71906,7.7,106402,1.38,5.7,12.2,3.4,5.4,4.2,68.8,1.9,2,26.78,33
77451,515,37.1,31125,0.40,3.6,34.6,18,15.5,21.5,63.4,7.1,1,,
77454,178,,,,,,,,,,,0,,
77459,84221,5.9,129151,1.67,4.9,8.7,5.6,4.8,4.1,85.2,2.1,2,19.68,14
77461,12365,14.6,93446,1.21,6,27.1,4.9,19,6,79.7,4.1,2,42.91,86
77464,407,5.7,64375,0.83,0,14.3,8.5,20.1,3.5,63,0,1,,
77466,220,44.5,46750,0.61,3.8,2.7,2.4,24.6,30.3,75.9,0,1,,
77469,69826,7.7,102125,1.32,4.5,15.9,8.7,9.9,4.3,79.4,2.5,2,29.15,44
77471,45325,18.2,73186,0.95,6.3,19.3,15.6,13.3,6.6,58.3,5.8,2,50.39,112
77474,15146,14.4,75272,0.97,3.8,20.7,10.8,17.7,10.8,79.1,2.9,2,41.82,81
77476,423,,,,,,,,,,,0,,
77477,33752,11.6,75744,0.98,6.3,18.1,13.6,15.8,5.4,36.7,6.1,2,48.49,109
